features,f1,auc,set
fanin,0.0,0.5,vq
fanout,0.0,0.5,loc|vq
wmc,0.0041797283176593526,0.5010471204188481,loc|vq|lq
loc,0.014537902388369679,0.5036563315814166,loc|vq|lq|cq
rq,0.012448132780082987,0.5031155916028887,wmc|loc|vq|lq|cq
vq,0.010416666666666668,0.5026178010471204,wmc|loc|vq|pq|lq|cq
pq,0.0712871287128713,0.5186849597327798,fanout|wmc|loc|vq|pq|lq|cq
lq,0.07881773399014778,0.5207706106859243,fanout|wmc|loc|rq|vq|pq|lq|cq
cq,0.08284023668639054,0.5218435007584283,fanin|fanout|wmc|loc|rq|vq|pq|lq|cq
icq,0.07333994053518335,0.5192256997113079,fanin|fanout|wmc|loc|rq|vq|pq|lq|cq|icq
